#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
That applies above all to younger employees.	Das gilt vor allem für jüngere Beschäftigte.	B2 B2-U01 B2-U01-L3
In my experience — I have no reliable figures.	Meiner Erfahrung nach — belastbare Zahlen habe ich nicht.	B2 B2-U01 B2-U01-L3
I don't want to generalise, but …	Ich möchte nicht verallgemeinern, aber …	B2 B2-U01 B2-U01-L3
The impression is created that …	Der Eindruck wird erweckt, dass …	B2 B2-U01 B2-U01-L3
I'd describe myself as …	Ich würde mich als … bezeichnen.	B2 B2-U01 B2-U01-L3
identity / awareness	die Identität / das Bewusstsein	B2 B2-U01 B2-U01-L3
values / norms	die Werte / die Normen	B2 B2-U01 B2-U01-L3
to attribute something to someone	jemandem etwas zuschreiben	B2 B2-U01 B2-U01-L3
to distinguish oneself from	sich abgrenzen von	B2 B2-U01 B2-U01-L3
exclusion / diversity	die Ausgrenzung / die Vielfalt	B2 B2-U01 B2-U01-L3
adaptation / to adapt	die Anpassung / sich anpassen	B2 B2-U01 B2-U01-L3
citizenship	die Staatsangehörigkeit	B2 B2-U01 B2-U01-L3
the overwhelming majority	die erdrückende Mehrheit	B2 B2-U01 B2-U01-L4
to locate oneself socially	sich gesellschaftlich verorten	B2 B2-U01 B2-U01-L4
the self-assessment	die Selbsteinschätzung	B2 B2-U01 B2-U01-L4
the fallacy	der Fehlschluss	B2 B2-U01 B2-U01-L4
educational advancement	der Bildungsaufstieg	B2 B2-U01 B2-U01-L4
to deny someone their achievement	jemandem seine Leistung absprechen	B2 B2-U01 B2-U01-L4
That is empirically documented.	Das ist empirisch dokumentiert.	B2 B2-U01 B2-U01-L4
The impression is based on a few cases.	Dieser Eindruck beruht auf wenigen Fällen.	B2 B2-U01 B2-U01-L4
I identify more with the city than with the region.	Ich identifiziere mich stärker mit der Stadt als mit der Region.	B2 B2-U01 B2-U01-L4
the mutual lack of knowledge	die gegenseitige Unkenntnis	B2 B2-U01 B2-U01-L4
Schuld is an unproductive category.	Schuld ist eine unproduktive Kategorie.	B2 B2-U01 B2-U01-L4
to make a decision	eine Entscheidung treffen	B2 B2-U02
to raise an objection	Einspruch erheben	B2 B2-U02
to come into force	in Kraft treten	B2 B2-U02
to fall behind schedule	in Verzug geraten	B2 B2-U02
to take measures	Maßnahmen ergreifen	B2 B2-U02
to be available (to someone)	zur Verfügung stehen	B2 B2-U02
after checking the documents	nach Prüfung der Unterlagen	B2 B2-U02
due to the increased costs	aufgrund der gestiegenen Kosten	B2 B2-U02
the deadline / to meet a deadline	die Frist / eine Frist einhalten	B2 B2-U02
the remit, responsibility	die Zuständigkeit	B2 B2-U02
the arrangement / binding	die Absprache / verbindlich	B2 B2-U02
As discussed, let me put it on record:	Wie besprochen halte ich fest:	B2 B2-U02
the accusation	der Vorwurf	B2 B2-U02
to be outstanding (still missing)	ausstehen	B2 B2-U02
to take responsibility	die Verantwortung übernehmen	B2 B2-U02 B2-U02-L1
to criticise (formal)	Kritik üben an (+ D)	B2 B2-U02 B2-U02-L1
to call into question	in Frage stellen	B2 B2-U02 B2-U02-L1
to take into consideration	in Betracht ziehen	B2 B2-U02 B2-U02-L1
to raise (a topic)	zur Sprache bringen	B2 B2-U02 B2-U02-L1
to check back with someone	Rücksprache halten mit (+ D)	B2 B2-U02 B2-U02-L1
to refrain from something	Abstand nehmen von (+ D)	B2 B2-U02 B2-U02-L1
to take note of	zur Kenntnis nehmen	B2 B2-U02 B2-U02-L1
the objection / the formal objection	der Einwand / der Einspruch	B2 B2-U02 B2-U02-L1
after checking your documents	nach Prüfung Ihrer Unterlagen	B2 B2-U02 B2-U02-L2
despite repeated reminders	trotz mehrfacher Erinnerung	B2 B2-U02 B2-U02-L2
before the start of the project	vor Beginn des Projekts	B2 B2-U02 B2-U02-L2
to reduce the costs (nominal)	zur Senkung der Kosten	B2 B2-U02 B2-U02-L2
if you have any questions (nominal)	bei Rückfragen	B2 B2-U02 B2-U02-L2
within the project	im Rahmen des Projekts	B2 B2-U02 B2-U02-L2
in the course of the restructuring	im Zuge der Umstrukturierung	B2 B2-U02 B2-U02-L2
the implementation / the carrying out	die Umsetzung / die Durchführung	B2 B2-U02 B2-U02-L2
the absence (through illness)	der Ausfall	B2 B2-U02 B2-U02-L2
the requirement, the specification	die Vorgabe	B2 B2-U02 B2-U02-L2
compliance with the deadlines	die Einhaltung der Fristen	B2 B2-U02 B2-U02-L2
to take place (formal)	erfolgen	B2 B2-U02 B2-U02-L2
I'd like to raise something.	Ich würde gern etwas ansprechen.	B2 B2-U02 B2-U02-L3
I've noticed that …	Mir ist aufgefallen, dass …	B2 B2-U02 B2-U02-L3
I'm not saying this as a reproach.	Ich sage das nicht als Vorwurf.	B2 B2-U02 B2-U02-L3
For me the consequence is that …	Für mich hat das die Folge, dass …	B2 B2-U02 B2-U02-L3
Can we agree that …?	Können wir festhalten, dass …?	B2 B2-U02 B2-U02-L3
As discussed, let me put it in writing:	Wie besprochen halte ich fest:	B2 B2-U02 B2-U02-L3
What exactly are you referring to?	Worauf genau beziehen Sie sich?	B2 B2-U02 B2-U02-L3
That's not my responsibility.	Dafür bin ich nicht zuständig.	B2 B2-U02 B2-U02-L3
the accusation / the arrangement	der Vorwurf / die Absprache	B2 B2-U02 B2-U02-L3
binding / to fix, determine	verbindlich / festlegen	B2 B2-U02 B2-U02-L3
to give in, to relent	einlenken	B2 B2-U02 B2-U02-L3
the compromise / the concession	der Kompromiss / das Zugeständnis	B2 B2-U02 B2-U02-L3
irritable, on edge	gereizt	B2 B2-U02 B2-U02-L3
the gap in responsibility	die Zuständigkeitslücke	B2 B2-U02 B2-U02-L4
the incident	der Vorfall	B2 B2-U02 B2-U02-L4
An assignment without a name is a wish.	Eine Aufgabe ohne Namen ist ein Wunsch.	B2 B2-U02 B2-U02-L4
to follow up (on something)	nachfassen	B2 B2-U02 B2-U02-L4
the approval (step)	die Freigabe	B2 B2-U02 B2-U02-L4
That's a tacit agreement.	Das ist eine stillschweigende Übereinkunft.	B2 B2-U02 B2-U02-L4
to shift the problem	das Problem verlagern	B2 B2-U02 B2-U02-L4
without consequences (for the person)	folgenlos	B2 B2-U02 B2-U02-L4
I take that seriously.	Das nehme ich ernst.	B2 B2-U02 B2-U02-L4
I'd rather have a solution than an exchange of letters.	Mir wäre an einer Lösung mehr gelegen als an einem Schriftwechsel.	B2 B2-U02 B2-U02-L4
I'm happy to meet you halfway if you commit to …	Ich lenke gern ein, wenn Sie mir zusagen, dass …	B2 B2-U02 B2-U02-L4
